15	a	a	ADV	RB	_	16	case	16:case	_	1:01	PP	a least	p.Approximator	p.Approximator	_	_	_	B-PP-p.Approximator
7	ahead	ahead	ADV	RB	_	5	advmod	5:advmod	_	1:01	PP	ahead of time	p.Time	p.Time	_	_	_	B-PP-p.Time
29	among	among	ADP	IN	_	30	case	30:case	_	4:01	PP	among other	p.Whole	p.Whole	_	_	_	B-PP-p.Whole
16	around	around	ADP	IN	_	17	case	17:case	_	3:01	PP	around corner	p.Locus	p.Locus	_	_	_	B-PP-p.Locus
3	around	around	ADP	IN	_	5	case	5:case	_	1:01	PP	around the clock	p.Time	p.Time	_	_	_	B-PP-p.Time
12	around	around	ADP	IN	_	14	case	14:case	_	1:01	PP	around the corner	p.Locus	p.Locus	_	_	_	B-PP-p.Locus
6	around	around	ADP	IN	_	8	case	8:case	_	1:01	PP	around the corner	p.Locus	p.Locus	_	_	_	B-PP-p.Locus
14	as	as	ADP	IN	_	15	case	15:case	_	2:01	PP	as usual	p.ComparisonRef	p.ComparisonRef	_	_	_	B-PP-p.ComparisonRef
5	at	at	ADP	IN	_	7	case	7:case	_	2:01	PP	at a premium	p.Cost	p.Cost	_	_	_	B-PP-p.Cost
12	at	at	ADV	RB	_	13	case	13:case	_	1:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
14	at	at	ADV	RB	_	15	case	15:case	_	2:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
6	at	at	ADV	RB	_	7	case	7:case	_	1:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
22	at	at	ADV	RB	_	23	case	23:case	_	4:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
13	at	at	ADV	RB	_	14	case	14:case	_	1:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
8	at	at	ADV	RB	_	9	case	9:case	_	1:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
21	AT	at	ADV	RB	_	22	case	22:case	_	2:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
15	AT	at	ADV	RB	_	16	case	16:case	_	2:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
23	at	at	ADV	RB	_	24	case	24:case	_	1:01	PP	at all	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
2	AT	at	ADP	IN	_	4	case	4:case	_	1:01	PP	at all cost	p.Manner	p.Manner	_	_	_	B-PP-p.Manner
5	at	at	ADV	RB	_	6	case	6:case	_	1:01	PP	at best	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
5	at	at	ADV	RB	_	6	case	6:case	_	1:01	PP	at best	p.Extent	p.Extent	_	_	_	B-PP-p.Extent
