1	about	4	bang on about (1) - (vrb) talk at tedious length about (something) ()
2	about	4	be nothing to write home about (1) - (phr) be very mediocre or unexceptional ()
3	about	4	be nuts about (1) - (phr) like very much ()
4	about	4	be nutty about (1) - (phr) like very much ()
5	about	4	be on about (1) - (phr)  ()
6	about	4	be on about (2) - (phr) talk about tediously and at length ()
7	about	4	bring something about (1) - (vrb)  ()
8	about	4	bring something about (2) - (nou) cause something to happen ()
9	about	4	bring something about (3) - (nou) cause a ship to head in a different direction ()
10	about	4	cast about (1) - (vrb) search far and wide (physically or mentally) ()
11	about	4	come about (1) - (vrb)  ()
12	about	4	come about (2) - (nil) happen; take place ()
13	about	4	come about (3) - (nil) change direction ()
14	about	4	fall about (1) - (vrb) laugh uncontrollably ()
15	about	4	fuck about (1) - (vrb) spend time doing unimportant or trivial things ()
16	about	4	go about (1) - (vrb)  ()
17	about	4	go about (2) - (nil) begin or carry on with (an activity) ()
18	about	4	go about (3) - (nil) change to an opposite tack ()
19	about	4	have a thing about (1) - (phr) have an obsessive interest in or dislike of ()
20	about	6	how about (1) - (phr)  ()
21	about	6	how about (2) - (nil) used to make a suggestion or offer ()
22	about	6	how about (3) - (nil) used when asking for information or an opinion on something ()
23	about	2	just about (1) - (phr) almost exactly; nearly ()
24	about	4	keep on about (1) - (vrb) speak about (something) repeatedly ()
25	about	4	knock about (1) - (vrb) travel without a specific purpose ()
26	about	4	knock about (2) - (nil) happen to be present ()
27	about	4	knock about (3) - (nil) spend time with someone ()
28	about	4	know what one is about (1) - (phr) be sensible, self-possessed, and aware of how to deal with difficult situations ()
29	about	4	know what one is talking about (1) - (phr) be expert or authoritative on a particular subject ()
30	about	4	lay about (1) - (vrb) beat or attack (someone) violently ()
31	about	4	lay about (2) - (nil) strike out wildly on all sides ()
32	about	4	make no bones about (1) - (phr) have no hesitation in stating or dealing with (something), however unpleasant or awkward it is ()
33	about	4	not bear thinking about (1) - (phr) be too terrible to contemplate ()
34	about	4	not know the first thing about (1) - (phr) have not the slightest idea about (something) ()
35	about	8	out and about (1) - (phr) engaging in normal activity after an illness ()
36	about	4	play about (1) - (vrb) behave in a casual, foolish, or irresponsible way ()
37	about	4	play about (2) - (adj) have a love affair ()
38	about	4	put about (1) - (vrb) turn on the opposite tack ()
39	about	4	put it about (1) - (phr) be sexually promiscuous ()
40	about	4	put someone about (1) - (vrb) upset or trouble someone ()
41	about	4	put something about (1) - (vrb) spread information or rumours ()
42	about	5	right about (1) - (nou) a right turn continued through 180° so as to face in the opposite direction ()
43	about	7	round about (1) - (phr)  ()
44	about	7	round about (2) - (nil) on all sides or in all directions ()
45	about	1	round about (3) - (nil) at a point or time approximately equal to ()
46	about	4	see about (1) - (vrb) attend to or deal with ()
47	about	4	set about (1) - (vrb)  ()
48	about	4	set about (2) - (nil) start doing something with vigour or determination ()
49	about	4	set about (3) - (nil) attack (someone) ()
50	about	4	turn about (1) - (vrb) move so as to face in the opposite direction ()
51	about	7	turn and turn about (1) - (phr) one after another; in succession ()
52	about	8	up and about (1) - (phr) no longer in bed (after sleep or an illness) ()
53	above	1	a cut above (1) - (phr) noticeably superior to ()
54	above	2	from above (1) - (phr) from a position of higher rank or authority ()
55	above	2	head and shoulders above (1) - (phr) far superior to ()
56	above	4	not be above (1) - (phr) be capable of stooping to (an unworthy act) ()
57	above	1	over and above (1) - (phr) in addition to ()
58	across	4	come across (1) - (vrb)  ()
59	across	4	come across (2) - (nil) meet or find by chance ()
60	across	4	come across (3) - (nil) hand over or provide what is wanted ()
61	across	4	get something across (1) - (vrb) manage to communicate an idea clearly ()
62	across	4	put something across (1) - (vrb) communicate something effectively ()
63	across	4	run across (1) - (vrb) meet or find by chance ()
64	after	4	look after (1) - (vrb) take care of ()
65	after	4	make after (1) - (vrb) pursue (someone) ()
66	after	4	pick up after (1) - (vrb) tidy up things left strewn around by (someone) ()
67	after	4	run after (1) - (vrb) persistently seek to acquire or attain ()
68	after	4	run after (2) - (adj) seek the company of (a potential sexual or romantic partner) ()
69	after	4	see after (1) - (vrb) take care of; look after ()
70	after	8	sought after (1) - (adj) much in demand; generally desired ()
71	after	4	take after (1) - (vrb) resemble (a parent or ancestor) ()
72	after	5	the morning after (1) - (phr) the morning after an evening of drinking, when one has a hangover ()
73	against	4	come up against (1) - (vrb) be faced with or opposed by ()
74	against	4	find against (1) - (vrb) make a decision against or judge to be guilty ()
75	against	4	go against (1) - (vrb) oppose or resist ()
76	against	4	go against (2) - (nil) be contrary to (a feeling or principle) ()
77	against	4	go against (3) - (nil) be unfavourable for ()
78	against	4	kick against (1) - (vrb) protest against or resist (something) ()
79	against	1	over against (1) - (phr)  ()
80	against	1	over against (2) - (nil) adjacent to ()
81	against	1	over against (3) - (nil) in contrast with ()
82	against	4	run against (1) - (vrb) collide with (someone) ()
83	against	4	run against (2) - (adj) happen to meet ()
84	against	4	run up against (1) - (vrb) meet (a difficulty or problem) ()
85	against	4	set someone against (1) - (vrb) cause someone to be in opposition or conflict with ()
86	against	4	set something against (1) - (vrb) offset something against ()
87	against	4	set something off against (1) - (vrb)  ()
88	against	4	take against (1) - (vrb) begin to dislike (someone), often for no strong or obvious reason ()
89	against	4	turn against (1) - (vrb) become (or cause someone to become) hostile towards ()
90	against	1	up against (1) - (phr) close to or in contact with ()
